Timestamp,pCut Motor: Torque," pCut CTRL Position controller: Lag error"," pCut CTRL Position controller: Actual position"," pCut CTRL Position controller: Actual speed"," pSvolFilm CTRL Position controller: Actual position"," pSvolFilm CTRL Position controller: Actual speed"," pSvolFilm CTRL Position controller: Lag error"
-0.187999973,-0.001146008,0.004241943,-838822,0,35096,5.0085783,0.008013844
-0.183999973,0.014685052,0.001495361,-838822,6.866455078,35096,0,0.007012069
-0.179999974,0.023437247,-0.001251221,-838821,13.73291016,35096,2.50428915,0.008013844
-0.175999974,0.016672011,-0.001251221,-838821,-6.866455078,35096,-2.50428915,0.007012069
-0.171999974,0.00271223,0.001495361,-838822,-6.866455078,35096,-5.008727074,0.008013844
-0.167999975,0.016344199,-0.001251221,-838821,13.73291016,35096,-7.513016224,0.010017276
-0.163999975,0.021524711,-0.001251221,-838821,0,35096,2.50428915,0.006010354
-0.159999975,0.017589526,-0.001251221,-838821,0,35096,5.008727074,0.006010354
-0.155999975,0.015958589,-0.001251221,-838821,0,35096,5.008727074,0.006010354
-0.151999976,0.019909287,-0.001251221,-838821,0,35096,0,0.008013844
-0.147999976,0.00360045,0.001495361,-838822,-3.433227539,35096,2.504438162,0.007012069
-0.143999976,0.018202752,-0.001251221,-838821,6.866455078,35096,5.008727074,0.006010354
-0.139999976,0.014952341,-0.001251221,-838821,0,35096,-5.008727074,0.008013844
-0.135999977,0.004047848,0.001495361,-838822,0,35096,-5.008727074,0.008013844
-0.131999977,0.008227337,-0.001251221,-838821,0,35096,-5.0085783,0.007012069
-0.127999977,0.008756132,0.001495361,-838822,0,35096,0,0.005008638
-0.123999978,0.010204013,-0.001251221,-838821,0,35096,0,0.008013844
-0.119999978,0.010027089,0.001495361,-838822,0,35096,5.008727074,0.006010354
-0.115999978,0.016471049,0.004241943,-838822,0,35096,0,0.008013844
-0.111999978,0.001306689,0.002868652,-838822,3.433227539,35096,-5.008727074,0.008013844
-0.107999979,0.024447404,-0.003997803,-838821,6.866455078,35096,0,0.008013844
-0.103999979,0.013937642,-0.001251221,-838821,0,35096,2.504438162,0.007012069
-0.099999979,0.006905807,0.001495361,-838822,0,35096,5.008727074,0.006010354
-0.09599998,0.041957166,-0.003997803,-838821,0,35096,2.50428915,0.006010354
-0.09199998,0.019408531,-0.001251221,-838821,13.73291016,35096,0,0.006010354
-0.08799998,0.030230641,-0.003997803,-838821,0,35096,0,0.006010354
-0.08399998,0.018076904,-0.001251221,-838821,0,35096,0,0.008013844
-0.079999981,0.017255943,0.001495361,-838822,0,35096,2.50428915,0.008013844
-0.075999981,0.013064695,-0.001251221,-838821,0,35096,-2.50428915,0.00901556
-0.071999981,0.007272406,0.001495361,-838822,-6.866455078,35096,2.50428915,0.008013844
-0.067999981,0.002522338,0.00012207,-838822,-3.433227539,35096,2.50428915,0.008013844
-0.063999982,0.009442235,0.004241943,-838822,-6.866455078,35096,2.50428915,0.006010354
-0.059999982,0.017145451,0.00012207,-838822,3.433227539,35096,0,0.006010354
-0.055999982,0.009586602,-0.001251221,-838821,0,35096,0,0.008013844
-0.051999983,0.006015218,0.001465797,-838821,6.866455078,35096,-2.50428915,0.007012069
-0.047999983,-0.01360075,0.007712364,-838821,6.866455078,35096,-5.008727074,0.008577704
-0.043999983,-0.067514524,0.018606186,-838821,6.866455078,35096,5.008727074,0.01115495
-0.039999983,-0.097296476,0.025655746,-838821,27.46582031,35096,5.0085783,0.020185471
-0.035999984,-0.172566369,0.040542603,-838821,27.46582031,35096,2.504438162,0.03002131
-0.031999984,-0.182045162,0.033331871,-838821,54.93164063,35096,12.52159405,0.033081591
-0.027999984,-0.259506792,0.039471626,-838821,51.49841309,35096,17.53032112,0.039886534
-0.023999984,-0.306654483,0.041073799,-838821,68.66455078,35096,27.54777527,0.047793806
-0.019999985,-0.309166521,0.026079178,-838820,96.13037109,35096,32.5565033,0.058167398
-0.015999985,-0.301774293,0.005043983,-838820,96.13037109,35097,37.56507874,0.067533717
-0.011999985,-0.321857274,0.006797791,-838820,113.2965088,35097,52.59111404,0.069092333
-0.007999986,-0.394836426,0.023087502,-838819,133.895874,35097,17.53046989,0.100908875
-0.003999986,-0.386360109,0.010373116,-838819,144.1955566,35097,35.06079102,0.299219787
1.38655E-08,-0.408251792,0.002551079,-838818,154.4952393,35097,52.59111404,0.403502882
0.004000014,-0.420034707,0.002349854,-838817,168.2281494,35097,75.13031006,0.447958529
0.008000013,-0.437820435,-0.001236916,-838817,192.2607422,35098,85.14746857,0.484535933
0.012000013,-0.440582097,-0.006856918,-838816,202.5604248,35098,85.14761353,0.531336546
