Timestamp,pCut Motor: Torque," pCut CTRL Position controller: Lag error"," pCut CTRL Position controller: Actual position"," pCut CTRL Position controller: Actual speed"," pSvolFilm CTRL Position controller: Actual position"," pSvolFilm CTRL Position controller: Actual speed"," pSvolFilm CTRL Position controller: Lag error"
-0.191999973,-0.03094605,-0.001116753,-845006,0,25528,-2.504326344,-0.07837256
-0.187999973,-0.035879605,0.000256538,-845006,0,25528,0,-0.080376036
-0.183999974,-0.044995699,0.00300312,-845006,-6.866455078,25528,-10.01734257,-0.075367354
-0.179999974,-0.049833793,0.004376411,-845006,0,25528,0,-0.079374291
-0.175999974,-0.023358455,-0.001116753,-845006,0,25528,-7.513016224,-0.076369084
-0.171999975,-0.031485211,-0.001116753,-845006,-3.433227539,25528,0,-0.079374291
-0.167999975,-0.023024319,-0.001116753,-845006,0,25528,0,-0.080376036
-0.163999975,-0.035152096,0.000256538,-845006,-3.433227539,25528,-2.504326344,-0.07737083
-0.159999975,-0.021580717,-0.001116753,-845006,-10.29968262,25528,0,-0.079374291
-0.155999976,-0.022637894,0.000256538,-845006,-3.433227539,25528,-10.01734257,-0.075367354
-0.151999976,-0.007226525,-0.001116753,-845006,3.433227539,25528,-5.00868988,-0.076369084
-0.147999976,-0.008947092,-0.001116753,-845006,0,25528,2.504326344,-0.079374291
-0.143999976,-0.019484304,-0.001116753,-845006,0,25528,0,-0.079374291
-0.139999977,-0.042481251,0.004376411,-845006,-3.433227539,25528,-10.01737976,-0.076369084
-0.135999977,-0.013954857,-0.001116753,-845006,10.29968262,25528,0,-0.079374291
-0.131999977,-0.028572051,-0.001116753,-845006,0,25528,-7.513016224,-0.07737083
-0.127999978,-0.029421141,0.00300312,-845006,3.433227539,25528,0,-0.079374291
-0.123999978,-0.030518528,0.00300312,-845006,3.433227539,25528,-2.504363537,-0.079374291
-0.119999978,-0.045102622,0.00300312,-845006,-10.29968262,25528,-12.52166843,-0.07737083
-0.115999978,-0.051199973,0.004376411,-845006,0,25528,0,-0.079374291
-0.111999979,-0.046086993,0.00300312,-845006,0,25528,0,-0.079374291
-0.107999979,-0.035518192,0.004376411,-845006,0,25528,7.513016224,-0.082379498
-0.103999979,-0.042907458,-0.001116753,-845006,0,25528,0,-0.080376036
-0.09999998,-0.019371442,-0.001116753,-845006,0,25528,0,-0.079374291
-0.09599998,-0.015368992,-0.002490044,-845006,13.73291016,25528,0,-0.079371437
-0.09199998,-0.021737559,-0.00362587,-845006,0,25528,5.008652687,-0.078929797
-0.08799998,-0.025353316,-0.001089096,-845006,-3.433227539,25528,0,-0.076730832
-0.083999981,-0.035116218,9.72748E-05,-845006,3.433227539,25528,2.504363537,-0.072372526
-0.079999981,-0.057127614,0.009090424,-845006,0,25528,2.504326344,-0.063475713
-0.075999981,-0.068642981,0.005298615,-845006,10.29968262,25528,0,-0.051694691
-0.071999981,-0.074675232,0.009096146,-845006,10.29968262,25528,0,-0.034703057
-0.067999982,-0.08292909,0.009274483,-845006,13.73291016,25528,2.504363537,-0.014207944
-0.063999982,-0.11242222,0.015681267,-845006,17.1661377,25528,17.53034019,4.34518E-05
-0.059999982,-0.149972185,0.020763397,-845006,17.1661377,25528,22.53904915,0.000280693
-0.055999983,-0.170847818,0.016057014,-845006,20.59936523,25528,15.02603245,0.005754203
-0.051999983,-0.214426294,0.020787239,-845006,6.866455078,25528,27.54770088,0.010644168
-0.047999983,-0.231507644,0.020764351,-845006,27.46582031,25528,32.55635452,0.017118573
-0.043999983,-0.245138928,0.022623062,-845005,41.19873047,25528,22.53904915,0.023312151
-0.039999984,-0.240315035,0.009420395,-845005,37.76550293,25528,37.56507874,0.020320773
-0.035999984,-0.27718997,0.007015228,-845005,34.33227539,25528,35.06079102,0.019248247
-0.031999984,-0.314665765,0.013338089,-845005,37.76550293,25529,27.54773903,0.038185522
-0.027999984,-0.335284352,0.011898041,-845005,48.06518555,25529,35.06075287,0.108218521
-0.023999985,-0.357449144,0.016869545,-845005,58.36486816,25529,65.11281586,0.094118103
-0.019999985,-0.329782814,-0.003578186,-845004,68.66455078,25529,50.08682251,0.08902663
-0.015999985,-0.33233434,-0.011244774,-845004,65.23132324,25529,15.02603245,0.215108514
-0.011999986,-0.309208214,-0.012792587,-845004,78.9642334,25529,52.59111404,0.331045747
-0.007999986,-0.308399945,-0.023356438,-845004,72.09777832,25530,72.6258316,0.378637016
-0.003999986,-0.293443084,-0.020311356,-845003,72.09777832,25530,67.61714172,0.405841649
1.35899E-08,-0.292175412,-0.015367508,-845003,89.26391602,25530,77.63445282,0.444561869
0.004000013,-0.328100473,-0.010629654,-845002,89.26391602,25531,82.64321136,0.491613507
0.008000013,-0.287619442,-0.010723114,-845002,106.4300537,25531,95.16492462,0.521746755
0.012000013,-0.290683568,-0.016614914,-845002,109.8632813,25531,107.6866684,0.546753466
0.016000012,-0.29728651,-0.009596825,-845001,106.4300537,25532,112.695282,0.563368976
0.020000012,-0.279194206,-0.011248589,-845001,116.7297363,25532,127.7214279,0.579322875
0.024000012,-0.275287181,-0.008365631,-845000,137.3291016,25533,132.7299805,0.590295613
0.028000012,-0.280992061,-0.007661819,-845000,144.1955566,25533,132.7299957,0.588941336
0.032000011,-0.255666882,-0.012424469,-844999,154.4952393,25534,152.764679,0.580904961
0.036000011,-0.269886583,-0.00992775,-844999,154.4952393,25535,162.7821045,0.575811803
0.040000011,-0.240979016,-0.014913559,-844998,168.2281494,25535,167.7907867,0.576254904
0.044000011,-0.283295542,-0.002309799,-844997,164.7949219,25536,177.808136,0.579785645
0.04800001,-0.292705595,-0.00038147,-844997,168.2281494,25537,185.3211517,0.590943575
0.05200001,-0.250157297,-0.007638931,-844996,188.8275146,25537,185.3211212,0.604222119
0.05600001,-0.23321715,-0.011164665,-844995,192.2607422,25538,197.8427124,0.619103849
0.060000009,-0.24614276,-0.005368233,-844994,205.9936523,25539,195.338501,0.642047346
0.064000009,-0.238670751,-0.005262375,-844993,205.9936523,25540,212.8688354,0.657459915
0.068000009,-0.259752512,-0.00047493,-844993,209.4268799,25541,222.8862152,0.665731132
0.072000009,-0.223185882,-0.00671196,-844992,230.0262451,25542,232.9036407,0.667240262
0.076000008,-0.248589769,-0.005374908,-844991,230.0262451,25543,252.9382629,0.667350173
0.080000008,-0.216323823,-0.0060215,-844990,243.7591553,25544,257.946991,0.671378195
0.084000008,-0.245024204,0.003540039,-844989,250.6256104,25545,270.4686279,0.673615038
0.088000008,-0.240974799,-0.001143456,-844988,260.925293,25546,275.477356,0.684353471
0.092000007,-0.251906484,0.003087997,-844987,271.2249756,25547,285.4947205,0.704823554
0.096000007,-0.235788926,0.001155853,-844986,281.5246582,25548,293.0076904,0.728235543
0.100000007,-0.229067445,0.001541138,-844984,291.8243408,25549,298.0163574,0.760796845
0.104000006,-0.26031974,0.009307861,-844983,288.3911133,25550,308.0338135,0.791635931
0.108000006,-0.274137825,0.007978439,-844982,298.6907959,25552,325.5641174,0.809885979
0.112000006,-0.258114517,0.003042221,-844981,315.8569336,25553,333.0771484,0.825658083
0.116000006,-0.281440914,0.007781029,-844980,308.9904785,25554,340.5901489,0.840045691
0.120000005,-0.280446082,0.011407852,-844978,336.4562988,25556,350.6075745,0.854116738
0.124000005,-0.293655455,0.009116173,-844977,343.3227539,25557,360.624939,0.849853098
0.128000005,-0.302058905,0.003619194,-844976,339.8895264,25559,378.1552124,0.829271376
0.132000004,-0.290778607,0.002895355,-844974,353.6224365,25560,393.1812744,0.813396037
0.136000004,-0.300402582,0.003713608,-844973,357.0556641,25562,398.1900024,0.796148717
0.140000004,-0.329650372,0.007173538,-844971,367.3553467,25563,405.7030334,0.796507716
0.144000004,-0.318724662,0.003381729,-844970,374.2218018,25565,415.7203979,0.807339072
0.148000003,-0.297294378,7.62939E-05,-844968,384.5214844,25567,413.2160034,0.827523708
0.152000003,-0.277522773,-0.00874424,-844967,391.3879395,25568,428.2420654,0.848904967
0.156000003,-0.289298594,-0.005523682,-844965,394.821167,25570,445.7724609,0.862264633
0.160000003,-0.313458294,0.000766754,-844964,398.2543945,25572,443.2680664,0.881431282
0.164000002,-0.286836177,-0.002754211,-844962,415.4205322,25574,465.8071899,0.883143485
0.168000002,-0.244374871,-0.015022278,-844960,429.1534424,25576,485.8418884,0.867118418
0.172000002,-0.240809262,-0.013222694,-844959,429.1534424,25578,488.3461914,0.84510237
0.176000001,-0.254500955,-0.010881424,-844957,439.453125,25580,498.3637085,0.831821561
0.180000001,-0.243557841,-0.006526947,-844955,436.0198975,25582,513.3897705,0.816895008
0.184000001,-0.267871767,0.001209259,-844953,436.0198975,25584,520.9025879,0.801986396
0.188000001,-0.25510484,-0.0042696,-844952,449.7528076,25586,525.9113159,0.782671213
0.192,-0.210270077,-0.015683174,-844950,460.0524902,25588,533.4243164,0.776575625
0.196,-0.19280526,-0.012973785,-844948,463.4857178,25590,538.4329834,0.790280998
0.2,-0.212001577,-0.005338669,-844946,460.0524902,25592,545.9460449,0.808263302
0.204,-0.242772326,0.006475449,-844944,477.2186279,25594,558.4677734,0.816014588
0.207999999,-0.236520305,0.001121521,-844942,477.2186279,25597,555.963501,0.817032397
0.211999999,-0.207653418,-0.002921104,-844940,490.9515381,25599,573.4937744,0.812741876
0.215999999,-0.193075001,-0.005225182,-844938,487.5183105,25601,591.0241089,0.801593661
0.219999998,-0.200167194,-0.002412796,-844936,501.2512207,25604,593.5285645,0.771936476
0.223999998,-0.186556295,-0.0050354,-844934,501.2512207,25606,608.5545654,0.737179995
0.227999998,-0.208303869,0.003822327,-844932,501.2512207,25609,613.5632324,0.696684003
0.231999998,-0.234020129,0.013822556,-844930,511.5509033,25611,613.5631104,0.667767286
0.235999997,-0.200129196,0.004610062,-844928,511.5509033,25613,611.0588989,0.685798883
0.239999997,-0.166908905,-0.009618759,-844926,511.5509033,25616,621.0761108,0.712995648
0.243999997,-0.157456547,-0.007608414,-844924,508.1176758,25618,638.6066895,0.717510998
0.247999996,-0.181541055,0.001107216,-844922,514.9841309,25621,638.6066284,0.714600682
0.251999996,-0.174756363,-0.00202179,-844920,514.9841309,25624,646.119751,0.714486301
0.255999996,-0.119265333,-0.011209488,-844918,539.0167236,25626,663.6500244,0.700266957
0.259999996,-0.130735531,-0.004179001,-844916,525.2838135,25629,661.1456909,0.686134756
