Timestamp,pCut Motor: Torque," pCut CTRL Position controller: Lag error"," pCut CTRL Position controller: Actual position"," pCut CTRL Position controller: Actual speed"," pSvolFilm CTRL Position controller: Actual position"," pSvolFilm CTRL Position controller: Actual speed"," pSvolFilm CTRL Position controller: Lag error"
0,-0.079209447,-0.002931595,-819570,333.0230713,62071,723.7541504,0.630159199
0.004,-0.098532289,-0.005680084,-819568,326.1566162,62074,723.7541504,0.644026816
0.007999999,-0.109040178,0.005404472,-819567,319.2901611,62076,721.2498779,0.670917153
0.011999999,-0.138598919,0.008464813,-819566,319.2901611,62079,723.7541504,0.695803881
0.015999999,-0.113183022,0.000547409,-819565,319.2901611,62082,731.2672729,0.712676764
0.019999999,-0.113759413,-0.005872726,-819563,305.557251,62085,728.7626953,0.705507994
0.023999998,-0.108827777,-0.002548218,-819562,302.1240234,62088,733.7716064,0.665318966
0.027999998,-0.098953165,-0.000455856,-819561,302.1240234,62091,733.7716064,0.633106828
0.031999998,-0.113946252,0.004528046,-819560,302.1240234,62094,733.7712402,0.613917232
0.035999998,-0.088844828,-0.002689362,-819559,302.1240234,62097,723.7540894,0.601739764
0.039999997,-0.078342654,-0.00689888,-819557,298.6907959,62100,723.7540894,0.611600399
0.043999997,-0.084123276,-0.001420975,-819556,291.8243408,62103,736.2758789,0.610479116
0.047999997,-0.076163694,-0.002628326,-819555,295.2575684,62106,736.2759399,0.585279047
0.051999996,-0.097034104,0.004594803,-819554,288.3911133,62109,733.7713013,0.577108562
0.055999996,-0.070879824,-0.001716614,-819553,278.0914307,62112,731.267334,0.580958784
0.059999996,-0.038225535,-0.011938095,-819552,284.9578857,62114,721.2498779,0.600836992
0.063999996,-0.059749305,-0.002716064,-819550,284.9578857,62117,711.2324219,0.641788602
0.067999995,-0.069840498,0.001241684,-819549,278.0914307,62120,728.7630005,0.661666632
0.071999995,-0.08746621,0.010929108,-819548,267.791748,62123,728.7630005,0.672529101
0.075999995,-0.040673461,-0.005138397,-819547,267.791748,62126,738.7801514,0.657346487
0.079999994,-0.037726235,-0.005933762,-819546,260.925293,62129,746.2932739,0.612111688
0.083999994,-0.064683668,0.004523277,-819545,257.4920654,62132,733.7715454,0.59091866
0.087999994,-0.053363629,0.005645752,-819544,257.4920654,62135,728.7626953,0.587793827
0.091999994,-0.071805887,0.008428574,-819543,260.925293,62138,721.2498779,0.579623282
0.095999993,-0.070352055,0.004644394,-819542,254.0588379,62141,726.2587891,0.588482201
0.099999993,-0.053857446,0.005288124,-819541,247.1923828,62144,726.2584839,0.60836035
0.103999993,-0.054884426,0.002216339,-819540,254.0588379,62146,723.7541504,0.622228026
0.107999993,-0.07749173,0.009004593,-819539,247.1923828,62149,721.2498779,0.646150112
0.111999992,-0.094910741,0.012014389,-819538,236.8927002,62152,731.2670288,0.66098249
0.115999992,-0.080351286,0.005765915,-819537,243.7591553,62155,723.7541504,0.661864638
0.119999992,-0.063009545,-0.000118256,-819536,240.3259277,62158,721.2498169,0.667681456
0.123999991,-0.080670662,0.003988266,-819535,233.4594727,62161,726.2583618,0.658546209
0.127999991,-0.107513927,0.008483887,-819534,233.4594727,62164,723.7543945,0.663361192
0.131999991,-0.113349415,0.007886887,-819533,226.5930176,62167,721.2498779,0.670253754
0.135999991,-0.078419,-0.001911163,-819532,230.0262451,62170,741.2844849,0.640082061
0.13999999,-0.106739655,0.001150131,-819532,212.8601074,62173,736.2759399,0.60082072
